startup_stage,industry,region,requested_amount,pre_money_valuation,team_size,founders_experience_years,annual_revenue,market_size_estimate,investment_amount,is_rejected
Series A,HealthTech,Asia,4588275.481389544,26016158.152700163,10,8,424356.5307598006,5837850.22829505,4600002.730563227,0
Series A,HealthTech,US,3661672.776972293,17158963.1507735,12,3,24273.43440104537,15764047.313996054,0.0,1
Seed,HealthTech,US,1266657.2226724117,5465146.154412079,11,5,176712.50091493293,13318952.059400182,1212937.130910019,0
Series A,HealthTech,US,2574386.4152673176,18782582.19295892,10,10,1130521.5845935952,8480306.622232428,2301111.945625233,0
Series A,E-commerce,US,5529938.122100787,24742757.754101407,12,9,139632.5110317482,9095367.161605746,5989406.59198144,0
Series B,ClimateTech,US,3957696.352291304,16806265.54365608,11,9,1326761.8441451692,4092878.862480688,3240256.583588871,0
Seed,ClimateTech,Europe,582714.3550801553,2158310.8632878787,5,6,30547.149890980792,3929607.592080409,295465.19392718107,0
Pre-Seed,AI/SaaS,US,2116683.4083306827,10868167.270586818,6,7,0.0,5619436.67530816,1062241.712195763,0
Seed,HealthTech,Europe,4333160.379722788,16052278.069845667,10,3,98996.36300252686,7036642.124789549,0.0,1
Series A,ClimateTech,Europe,4435482.061433611,29143047.081410494,9,5,741775.0084812526,7559523.558856649,4534741.168719966,0
Seed,AI/SaaS,US,6305446.042136304,28745823.771775395,6,5,790585.860131883,8743387.190569658,0.0,1
Pre-Seed,EdTech,US,499913.7967627579,1698846.6596587235,7,1,0.0,5489867.717520905,0.0,1
Seed,HealthTech,US,1117846.475987115,6018696.559174508,10,6,298067.43488948944,6167367.173215496,1267852.9835285963,0
Idea,EdTech,LATAM,1751429.120243847,6035482.184875419,5,2,0.0,9763543.292490682,1200048.4086659804,0
Seed,E-commerce,Asia,615239.6272289885,4719000.193343576,7,7,218684.4909032382,7399612.228998386,592455.7377349937,0
Idea,AI/SaaS,US,613562.2215751447,4533625.9764446905,1,9,0.0,8983129.960660238,413799.9514490997,0
Series A,ClimateTech,LATAM,3235966.3004443627,21514315.920655064,11,10,592448.1608087411,9320748.591977002,2918107.2400932084,0
Series A,E-commerce,Asia,914488.2163590456,3449875.86916512,10,8,1284874.3948834103,4823817.945054925,913145.505841031,0
Seed,E-commerce,Europe,5358881.809323919,30942364.65099292,7,7,182443.4285150046,4337921.879270383,2995558.0813207114,0
Series A,EdTech,Europe,1455757.2919570815,10643111.73448236,11,11,701672.7100443934,5810070.420582712,880568.2154987055,0
Pre-Seed,EdTech,US,948680.2741034072,4163913.7788799247,6,7,0.0,7453864.499478991,675893.9849754719,0
Idea,E-commerce,Europe,475462.657674818,1623075.1854030536,6,1,0.0,19250598.50445121,0.0,1
Idea,EdTech,US,255713.13677385196,1421044.448900181,3,4,0.0,6155758.381982458,0.0,1
Series A,ClimateTech,Asia,1945127.0155177289,15343885.62306427,12,1,994779.4912465812,25959998.34749664,1214343.5774217057,0
Pre-Seed,HealthTech,US,575923.9546203874,4538510.228427635,4,10,0.0,7341090.20130291,301434.3338764084,0
Series A,FinTech,Europe,3904775.77518431,29405091.26447833,12,7,586501.1070719087,11319182.009442853,0.0,1
Pre-Seed,E-commerce,Europe,1702905.225196533,12653215.61797755,8,4,0.0,7133303.43890132,885449.4421225948,0
Series B,HealthTech,US,5038958.59626514,32812147.23882029,14,11,126708.8101360512,18392634.40603872,2930769.5621580645,0
Pre-Seed,EdTech,Europe,351899.7559980148,2626478.683241368,7,4,0.0,15195210.764464531,0.0,1
Series B,ClimateTech,US,7383714.885915417,30640992.288160227,12,12,335008.79681909725,8290511.289705792,0.0,1
Seed,FinTech,US,3830978.072402425,19463639.313399624,10,2,438912.9235695461,4760645.739585421,2848796.1546933413,0
Seed,AI/SaaS,Asia,5061353.923542286,33425594.22834492,5,7,354569.80269076704,2252234.393258441,3124551.403641528,0
Pre-Seed,AI/SaaS,US,1037466.0113492976,4422554.512251969,6,4,0.0,4426810.341620087,596846.9073413247,0
Seed,FinTech,US,7763912.135472877,23853480.352279488,9,5,141212.71881635563,24699296.613942727,0.0,1
Seed,FinTech,Asia,2955980.9946195246,15966051.482861862,8,6,87199.30347622986,26204734.520523824,0.0,1
Seed,E-commerce,LATAM,1730560.547549361,6278583.58756433,5,5,125800.98928203332,6376098.688820436,1746681.307982589,0
Seed,HealthTech,US,5673785.4206464505,27686935.532273125,8,6,3100845.237288708,7214939.562275053,0.0,1
Series A,ClimateTech,Europe,5140012.505196999,21712429.28022976,12,16,2350623.165127222,3858609.4426817847,3427367.758143559,0
Series A,E-commerce,Europe,8140845.455689856,43674861.73116799,13,7,2449063.213541009,4111211.104761245,6150164.771770082,0
Pre-Seed,EdTech,US,277105.7836051919,1837463.6985377276,4,9,0.0,9097460.641231991,0.0,1
Pre-Seed,AI/SaaS,US,1095493.2211016263,7194418.172807653,3,4,0.0,21800767.034702133,0.0,1
Series A,HealthTech,US,2793686.7097266824,21263180.751020733,15,8,336904.765306682,4364055.054984356,1677843.8883178018,0
Seed,E-commerce,Asia,1772986.6428880554,10434397.497142002,11,7,199512.1830514541,10524799.440714272,944255.5682667968,0
Idea,ClimateTech,US,443746.7195444788,3497640.980397329,5,4,0.0,7488174.918056836,0.0,1
Pre-Seed,E-commerce,US,1372864.668810372,6109881.112661412,3,3,0.0,4978308.001395638,0.0,1
Series B,FinTech,Europe,2291845.357990524,17247031.60299425,11,8,39783.49056052441,5753182.029717518,2162689.163833486,0
Series A,AI/SaaS,LATAM,9605499.316825956,70490218.95545323,10,11,1498238.183225368,15338415.026445912,10599273.326722387,0
Series A,AI/SaaS,Asia,7692459.205880505,28566787.814844582,12,10,81774.95102607964,9528223.86767388,7319427.788083226,0
Pre-Seed,HealthTech,US,1290356.9002238093,7681427.900990433,4,7,0.0,11693303.007388368,1150367.7710716042,0
Pre-Seed,E-commerce,Europe,570164.1396740769,2545514.184391153,8,11,0.0,3637853.107274175,0.0,1
Series B,AI/SaaS,Asia,5989768.603668842,47105235.54483593,14,12,242619.1435186209,15761247.37513821,7078839.45706596,0
Series B,E-commerce,Europe,74884096.10237579,577409729.2332109,12,12,348169.1933555037,10348448.120742377,81259481.49195316,0
Series A,ClimateTech,US,2351351.6343859453,9951836.080774285,11,4,178814.36107996036,4450699.311500083,0.0,1
Seed,FinTech,Asia,4390415.422494188,27210962.761737768,8,8,293678.3845584452,9930213.077538185,0.0,1
Idea,ClimateTech,US,916915.1044609394,6254487.079771196,3,3,0.0,9930136.934883015,0.0,1
Idea,E-commerce,US,379728.4781412605,2207464.397337266,4,4,0.0,7646957.246581622,0.0,1
Series A,E-commerce,US,7142489.04642216,35069030.8801531,7,5,5403820.230481464,2000995.1059599533,4523111.822933588,0
Series B,E-commerce,US,12048433.047735702,78622841.834998,12,15,2042515.0380701649,1808562.672426804,13578052.242401583,0
Series A,E-commerce,Asia,5004314.328399407,30672610.176688552,7,7,279817.92165129154,15009395.097201612,3229907.0287543284,0
Seed,E-commerce,US,2373552.205556081,10756280.82732422,10,9,446534.9701871401,10235430.94252626,1846239.9235911304,0
Pre-Seed,E-commerce,Europe,511908.4704796933,2068947.0550732163,12,7,0.0,23012189.863716062,460875.6918398332,0
Series A,FinTech,LATAM,4670855.256277216,22942414.228799608,13,8,169528.3875681471,10947409.971729295,3137427.794384306,0
Series A,FinTech,US,2698481.587641612,8284091.738009425,9,9,327201.3525672501,2046354.6550871984,2857911.009137035,0
Pre-Seed,E-commerce,US,785837.4033911853,5544499.532702555,6,2,0.0,5538130.035068004,405222.2232685658,0
Idea,FinTech,LATAM,783861.0648580914,2728802.579746358,8,4,0.0,24125367.33846345,0.0,1
Series A,HealthTech,US,5408894.763312399,31871435.32102141,10,7,586815.1243137748,35739792.421679355,0.0,1
Seed,ClimateTech,Europe,2540450.9197767936,18501700.072451945,8,6,257020.31417292415,9951304.639225408,1303048.232808032,0
Series A,FinTech,Europe,7402376.160480405,34100937.09738393,9,5,203281.0817559632,17509266.609734375,7047456.284687454,0
Idea,E-commerce,Europe,367445.8545299919,2385299.2438150668,9,3,0.0,20553939.303573973,0.0,1
Pre-Seed,HealthTech,Europe,551352.3082984078,4181948.674554912,9,2,0.0,19176575.67881153,0.0,1
Pre-Seed,FinTech,US,841825.4323688431,3255225.960349232,7,4,0.0,19941298.69717556,976214.8277342104,0
Series B,HealthTech,US,5079547.5297329,19454526.352557085,13,9,101020.06377994327,4491712.019482875,2919365.463258821,0
Series A,HealthTech,Europe,5205405.413390218,16283347.501699377,7,8,561099.6319423295,8243018.396205517,3665145.413033074,0
Idea,EdTech,US,1342612.464730736,8572577.938101675,4,3,0.0,39078073.8120135,1388867.4234207943,0
Seed,AI/SaaS,Europe,1791552.770611053,6343404.124955917,9,3,382692.3392603116,32851453.842536453,978348.1838794828,0
Seed,FinTech,LATAM,3625836.536860968,15366637.652696136,10,7,1409254.785060699,13605338.95286414,2407969.509853712,0
Series A,HealthTech,Asia,9665539.182671271,36385299.58212042,7,3,6482309.85782021,12425241.766210465,9272808.272332452,0
Seed,ClimateTech,US,2990469.6813502205,11268367.177788856,9,6,192752.93094724705,49570200.77321521,0.0,1
Seed,EdTech,Europe,1048431.766399872,7984902.651946865,8,3,652917.733372581,2332188.798911843,1235554.6357441824,0
Idea,E-commerce,US,1718249.9612259003,7826986.871946705,7,3,0.0,4994690.068901523,1911472.8860614756,0
Series A,AI/SaaS,US,6504855.347981766,32776022.67308625,11,9,1320987.5268345275,2892912.00305087,7453764.156327858,0
Idea,HealthTech,LATAM,174198.48597811387,1164217.8977378097,9,5,0.0,2900884.554731931,92344.32021870244,0
Series A,ClimateTech,Asia,4568015.920949429,17699828.642084595,10,12,716981.2715567397,16953724.30114585,0.0,1
Idea,HealthTech,Europe,850348.8538729964,4242724.565828924,5,4,0.0,58031662.77774342,704442.7951092852,0
Series A,AI/SaaS,Europe,1488228.904894954,5885564.7703605695,10,4,375551.7436264728,6874560.296944496,1725872.280818491,0
Seed,FinTech,US,2845149.419315313,14032498.314729337,6,2,234397.08981505584,21237503.340990946,0.0,1
Pre-Seed,FinTech,Asia,305058.5125707064,1050889.2608495285,7,1,0.0,11480382.693117617,224010.71101771804,0
Seed,AI/SaaS,Europe,2457022.430726457,19208382.18628343,8,4,266538.1522502245,3449998.9682145515,1883601.5173490893,0
Seed,ClimateTech,LATAM,587395.8823858302,3661452.2094436735,13,5,785604.9743707005,13694045.11888269,0.0,1
Series B,E-commerce,US,6321743.774240857,49604106.297885016,12,9,997335.7381357576,6236648.137412642,7300867.320069547,0
Series B,EdTech,LATAM,18947118.771909263,60133425.945470415,10,15,233076.35967100685,11753922.563422726,9662268.077391494,0
Series A,FinTech,US,1300694.746370629,6605324.643725829,13,10,238792.38451537443,9288884.282250443,1092680.3471973091,0
Idea,FinTech,Europe,658029.2493844134,5068145.793702031,5,4,0.0,13094110.449511336,0.0,1
Seed,AI/SaaS,US,2391025.167291995,15150071.391913535,10,4,83029.30052791633,15971142.626875192,2012387.4654012567,0
Series B,EdTech,Europe,4844877.590267244,34386051.69191858,12,5,543414.6208988716,16442390.660344178,2615415.2905347906,0
Idea,HealthTech,US,414288.9539092445,2156970.172702221,4,7,0.0,5227628.6901618745,0.0,1
Seed,ClimateTech,Europe,2045568.9335873849,11548292.835690971,6,6,573600.3438010599,5289449.00193214,1525586.504033458,0
Pre-Seed,E-commerce,Europe,1106454.7864416928,5344156.748189417,8,4,0.0,3375059.4536651345,0.0,1
Pre-Seed,ClimateTech,US,571760.3493578223,4381633.699740263,5,2,0.0,6150732.423082418,405962.0473612047,0
Pre-Seed,EdTech,Asia,569000.0939522316,2404908.7638641507,8,3,0.0,7863292.788777002,0.0,1
Series A,E-commerce,LATAM,5371624.32805891,28874969.664822426,12,6,324954.05910818645,3043714.8913485403,6239163.401945508,0
Series B,E-commerce,US,12967523.314533368,45915429.39018943,6,10,1439854.3264090784,7910649.614897591,7524378.956123794,0
Series A,E-commerce,Asia,5057209.571490312,21794784.13496941,12,11,610234.6458446363,7823390.263697942,4640743.224018396,0
Series A,HealthTech,US,1987957.4171470944,8686099.828095604,13,8,744557.9762752891,17089481.262574583,2359633.834068065,0
Pre-Seed,HealthTech,US,523049.7243138038,3080143.238808279,6,3,0.0,5042602.127526337,0.0,1
Series A,HealthTech,US,5976139.869079978,38505144.37919429,13,6,783632.1248189842,3916284.331538139,6283942.768049669,0
Pre-Seed,HealthTech,Europe,1405545.1012596455,5251635.204172308,3,7,0.0,4172028.419789099,774362.1116655561,0
Idea,FinTech,US,498687.1488707052,3199277.967411732,8,3,0.0,30227826.01151772,0.0,1
Seed,ClimateTech,US,2437923.793744096,7408358.537796759,7,11,72323.21935660983,10812027.59654304,2045294.0848523455,0
Series A,ClimateTech,US,2635845.2300519138,18798362.98562784,13,6,6137079.416730516,3259319.958631916,2345119.5089098318,0
Pre-Seed,FinTech,US,1139336.9794484158,4913164.630426974,7,7,0.0,10088859.21614088,0.0,1
Seed,FinTech,Europe,1941291.4092367133,9600880.006220106,13,7,1522636.5374717938,26708103.292948272,1714004.4335034809,0
Idea,FinTech,US,448274.24467107694,2372726.5142011764,5,4,0.0,1746631.203367762,0.0,1
Seed,HealthTech,LATAM,837685.9417980362,3242302.170372235,5,10,525437.0159602447,2573098.038753857,0.0,1
Pre-Seed,HealthTech,US,2085188.950295972,15704123.45391148,6,7,0.0,11562704.77289065,0.0,1
Seed,FinTech,Europe,295587.07231690123,1939131.7916695343,8,6,1099088.2575453818,4631418.078351901,157414.07593112878,0
Idea,HealthTech,US,465191.8642713025,2547993.520898286,5,2,0.0,6498454.271476745,0.0,1
Series A,AI/SaaS,US,4249537.176763941,19241119.4685736,12,5,227517.26903524852,3444857.7706904374,0.0,1
Seed,ClimateTech,LATAM,1688816.0817002952,11920623.132929629,4,6,225771.995574847,7885658.328492976,1898033.1270051375,0
Seed,AI/SaaS,US,1855001.9659712284,13945527.321563946,8,3,167267.11598096826,20835035.862487555,2119268.8445091294,0
Idea,FinTech,US,558821.2241439176,2634540.563616277,8,7,0.0,6743706.098911616,665179.5543438195,0
Series A,AI/SaaS,Asia,20254335.330089647,63211557.01938166,12,8,47492.4939122581,7773584.827801301,15524682.191838743,0
Seed,EdTech,Europe,822241.7467303808,5735714.723062798,7,4,1083163.1748383257,6393760.144878701,0.0,1
Idea,E-commerce,US,405368.65799591725,1450909.9978929083,1,2,0.0,21088964.090239223,0.0,1
Pre-Seed,AI/SaaS,Europe,1040370.1410193308,4831714.517395637,6,6,0.0,16610640.27422404,0.0,1
Idea,EdTech,Europe,568206.4114657997,4501522.600747989,8,3,0.0,15441113.645725109,362383.9942595028,0
Idea,EdTech,Europe,234275.47055658413,1174602.8794218726,4,2,0.0,4951989.92488212,0.0,1
Seed,HealthTech,US,1537028.6845579229,12095919.333225878,9,6,203054.4292654724,5393924.132432147,0.0,1
Series A,ClimateTech,US,7162109.403534042,33029260.42819434,7,3,272505.78733441944,9527424.38734112,0.0,1
Series A,FinTech,Europe,1958517.1528718236,15040151.349578995,10,7,1131859.7861972302,24392743.933377653,2289708.624186678,0
Seed,HealthTech,US,3966080.12615659,16285151.632853191,9,13,112432.79088030386,21051877.713076748,3306745.7063086787,0
Idea,EdTech,Asia,559990.5721195713,2493535.8517853683,6,7,0.0,3337693.236902713,0.0,1
Seed,EdTech,US,13338732.66531312,54795075.64104659,10,10,307304.90522419533,5616328.8763884455,13874518.536155785,0
Series B,E-commerce,US,18448527.088719897,63954413.0408457,13,6,1197244.4613005938,6814124.243107128,19008630.48907237,0
Seed,ClimateTech,US,5270541.78445891,23006231.004137963,9,13,164873.2965644907,6333170.610035208,5217798.862421998,0
Idea,EdTech,US,393598.4154242512,1660668.6625667445,5,4,0.0,8870214.235571662,278301.37730030366,0
Idea,EdTech,Europe,281763.5273393639,1997529.6141171309,7,5,0.0,24392092.9498958,160978.11114424423,0
Seed,ClimateTech,Europe,3096663.053416729,22033195.93906968,8,5,316337.96449511533,6446896.324672529,3043675.737304774,0
Seed,ClimateTech,US,2877256.301551136,14617472.440321112,7,3,569117.6531244005,6428740.407643432,0.0,1
Series A,AI/SaaS,US,13349327.254985388,106352273.94169338,11,10,183629.13888790944,5444201.674133959,10907873.13540515,0
Series A,FinTech,US,6919476.768449423,50970386.28407917,8,6,193568.13555231405,12575251.94489731,6234456.360623906,0
Seed,ClimateTech,Europe,1132393.4921161118,7783629.094570599,7,4,222240.65053267105,16064148.268361766,0.0,1
Pre-Seed,E-commerce,Asia,2238195.68045714,7665482.656921448,8,3,0.0,6995985.0835958375,0.0,1
Series A,HealthTech,Asia,4647067.136028145,18836431.161215782,9,7,590807.1219360298,2333897.4039423475,3957809.349565504,0
Pre-Seed,FinTech,LATAM,4282220.308763132,17487814.11529032,6,6,0.0,7883102.813426837,3970852.801182733,0
Series A,FinTech,LATAM,2929333.6185443816,12856318.696416888,11,11,873807.731064681,10414954.071487237,2144201.6038074554,0
Series B,E-commerce,Europe,2416094.61112575,13007189.481470222,12,9,587491.5794971884,4904687.057757066,2468805.7969503724,0
Seed,AI/SaaS,US,2534104.9298220947,9965507.170729524,11,8,511371.6122637984,14433452.16781504,2023703.2484454445,0
Pre-Seed,EdTech,Asia,1122163.425221495,8391443.77592097,7,6,0.0,6763646.01202779,967950.639197291,0
Pre-Seed,AI/SaaS,LATAM,1239565.279215601,7872873.808199412,11,3,0.0,4940505.311716916,1281709.054029637,0
Seed,FinTech,Europe,2268257.2298595854,11933104.916023685,7,8,180957.73837381863,14653702.37053475,1958868.781623664,0
Series A,E-commerce,US,11068976.62256445,63493721.34863379,8,9,415358.7869136904,9348465.860283872,9290686.221273536,0
Idea,EdTech,Asia,3318935.6480959,17215041.121236484,5,6,0.0,16957913.6838328,0.0,1
Seed,ClimateTech,US,1929374.363868232,13145658.816364486,9,9,794147.7572178806,7000400.915623965,1063765.4400422089,0
Pre-Seed,E-commerce,US,610728.1302004269,2990161.282826424,2,4,0.0,1531907.5979392775,334243.5772375759,0
Idea,EdTech,Asia,483615.666829286,3849673.7405715687,6,1,0.0,21828823.419823483,0.0,1
Seed,FinTech,Europe,3184786.679583682,14563171.147562057,11,7,3816491.861414429,24855620.989937644,3652390.2598692616,0
Idea,ClimateTech,LATAM,195557.0235649446,626649.866132259,5,6,0.0,22790165.209388595,0.0,1
Series A,E-commerce,US,3876372.050319036,19582222.060348768,10,9,1626905.5667802638,2699487.743777755,0.0,1
Pre-Seed,EdTech,US,3517549.967814647,10854309.37285565,5,5,0.0,4304619.892563753,0.0,1
Series A,ClimateTech,US,790843.2334007722,4695104.915494099,12,9,264448.1276207612,8901646.99028178,478545.2121316856,0
Seed,ClimateTech,Asia,757243.6451040616,5851094.3251555925,7,1,453074.3258190284,10932609.625343444,0.0,1
Seed,HealthTech,Asia,689311.7993520204,4734319.737123967,8,5,102349.70664547938,6161632.709642578,750400.1851906012,0
Idea,ClimateTech,LATAM,1237651.3826000085,7227491.286353055,6,0,0.0,29026337.24754352,0.0,1
Idea,E-commerce,Europe,472898.8428261202,3367004.4317175,4,6,0.0,25166959.186783724,0.0,1
Idea,E-commerce,US,168886.16071611224,1134692.7584510774,1,3,0.0,16604327.820041109,199243.56987842187,0
Series B,EdTech,Europe,4257280.7861964,21302335.68992953,10,1,1024501.227507844,16123933.917049432,3757278.469931412,0
Series A,ClimateTech,US,15789823.140957365,113072958.8604188,10,8,477444.3273984735,14503783.85171249,9900982.386108546,0
Pre-Seed,HealthTech,US,424842.183690612,2583666.508839461,7,3,0.0,3551169.4812527355,0.0,1
Seed,EdTech,Asia,379434.8501084671,1708456.175757263,8,7,189619.6609261777,4779669.139714961,336153.24219213554,0
Seed,FinTech,US,1214158.1826455412,4868398.906487208,9,4,756382.6125214186,6051084.470558914,620436.783836038,0
Seed,AI/SaaS,US,4813038.775409052,23907217.65763539,10,3,575227.7552169593,30857288.917569187,0.0,1
Series A,EdTech,US,4713109.769003839,29572532.19293132,11,10,473944.6398693349,8617170.603954852,2536490.8697702647,0
Series A,AI/SaaS,Asia,4724386.616988577,20611864.22827176,9,8,154607.74455933296,11479843.679349115,4432089.587291588,0
Pre-Seed,HealthTech,US,1679421.193243689,10123301.339610323,9,5,0.0,26819646.915581275,0.0,1
Seed,FinTech,Asia,4017929.94265816,19738115.61217838,7,9,45349.093272854334,8497386.455495574,2463960.7801087666,0
Pre-Seed,ClimateTech,Europe,552821.9683756464,3875061.953764553,6,6,0.0,9322373.478018658,0.0,1
Seed,ClimateTech,US,2162181.556353062,13249377.651188444,5,8,313359.82246605604,60631106.16212212,0.0,1
Series A,AI/SaaS,US,6641410.288612956,21085896.15469112,9,5,186807.2714522583,14954668.79509542,0.0,1
Pre-Seed,HealthTech,US,1335732.6441667178,4274251.820245807,11,3,0.0,5852419.874322164,757298.9918404107,0
Pre-Seed,HealthTech,Europe,770109.7173566032,5184452.674245341,9,6,0.0,14877596.83162717,0.0,1
Pre-Seed,FinTech,US,497240.5377071647,1643685.4700874556,3,6,0.0,9133741.515355311,0.0,1
Pre-Seed,FinTech,US,2275473.424058288,11149903.563556207,11,6,0.0,7765476.420754792,0.0,1
Pre-Seed,FinTech,LATAM,475089.5075814052,2944644.5150040938,8,7,0.0,4196260.449490873,0.0,1
Series B,AI/SaaS,Europe,8500540.90831136,27444201.38267163,12,7,266578.6878657387,43240969.69316924,9700522.565359734,0
Series A,ClimateTech,Europe,3307462.746136699,19187750.252471,11,10,161807.1480299143,12570122.027784022,2737397.079702769,0
Pre-Seed,ClimateTech,LATAM,1735099.7615309,10260698.754684644,9,4,0.0,5044976.584873074,901903.9013982684,0
Idea,EdTech,Asia,871350.7147099233,5780621.855420902,6,5,0.0,20999838.071700484,0.0,1
Seed,EdTech,Europe,3015761.212751349,13556816.363437096,9,6,290538.1982607179,31937728.88861697,3402073.8020258094,0
Idea,EdTech,US,1779449.2576048635,11522284.285386857,3,5,0.0,2893627.121353212,0.0,1
Pre-Seed,AI/SaaS,Europe,963860.1824101536,4987900.198634327,5,4,0.0,9543382.66184255,806671.2276962444,0
Seed,ClimateTech,Europe,1630294.279513916,4911486.088702486,8,5,104155.93044792052,10129027.005300798,1880187.5267016497,0
Pre-Seed,HealthTech,US,1356909.5611973589,4751905.040599576,9,5,0.0,10020980.128449377,1175179.7414564202,0
Pre-Seed,AI/SaaS,Europe,1034972.895013273,3879268.4393417626,3,5,0.0,6487833.405071175,0.0,1
Seed,E-commerce,US,2818688.806404536,15052720.789053624,11,7,451277.01140258776,3306387.860955579,2815595.583145849,0
Series A,FinTech,US,4051234.616122983,23366686.58663293,12,9,568456.3022013193,7250641.2468355615,2308881.3444657726,0
Seed,HealthTech,US,1910378.0318472749,6752475.705328084,9,5,427481.02088788257,20263889.720487066,2042545.990169576,0
Series A,E-commerce,US,1202897.6982608188,6028158.304291151,12,12,974589.5500036572,2005250.1712528104,1267589.3954227136,0
Seed,AI/SaaS,Europe,2735969.0115953307,8982391.09523052,12,4,143766.55411036508,18116521.471744943,2379025.956917505,0
Pre-Seed,ClimateTech,US,751767.0579945772,2701997.906173577,7,3,0.0,13368102.47663706,0.0,1
Seed,ClimateTech,US,6310826.941993559,44928055.42122179,8,9,72809.24511063624,4649309.88256917,3567397.406332304,0
Series B,FinTech,US,10439669.996466955,49877369.41479495,15,6,320964.6017455867,8813836.39893694,9720724.516352128,0
Series A,EdTech,US,4830041.242858248,14733809.090638904,11,14,135233.52824298386,5557418.884266822,3632412.4502152135,0
Seed,FinTech,US,1171953.937958182,5041704.902465725,7,8,1217428.880742996,7209965.94313911,709475.7982292513,0
Series B,AI/SaaS,US,8265719.592803616,30596502.33007664,15,8,263091.160458304,7737913.68990963,7064559.330877885,0
Pre-Seed,FinTech,Asia,1074148.3265808525,8294777.2638577875,6,5,0.0,5949798.803862514,0.0,1
Series A,E-commerce,US,1642265.5642173889,7850765.737556294,10,5,311100.72439085634,1791627.887016202,1167646.60909952,0
Pre-Seed,FinTech,Europe,396001.4827049514,2987912.2511145654,10,4,0.0,43368338.27678631,0.0,1
Pre-Seed,EdTech,Europe,337422.5313387441,2167694.2538323672,8,7,0.0,10963760.519052222,175129.6581484622,0
Pre-Seed,FinTech,LATAM,576576.8266641864,2053399.8335831484,6,6,0.0,7744950.409889991,0.0,1
Idea,E-commerce,Europe,536802.1950891596,3069138.254796537,4,2,0.0,5275850.544790196,0.0,1
Seed,E-commerce,Europe,2856945.74866771,19859811.751347777,10,6,931980.1950987716,10494813.391146004,0.0,1
Pre-Seed,E-commerce,US,638592.1299194578,3731992.217042627,6,6,0.0,91662711.33572106,0.0,1
Seed,AI/SaaS,Europe,2772313.719976325,19965319.572996985,9,4,321214.39989420894,1901234.6672735608,0.0,1
Series A,FinTech,Europe,3024152.489599554,12685243.353814077,12,6,92374.75939454744,41797380.42040376,2325194.550711543,0
Series A,FinTech,US,2135142.6956233424,7476533.663919754,11,8,220883.58819316773,4147584.218252588,1209304.9109861886,0
Pre-Seed,EdTech,US,615158.2714063891,3119989.272834873,5,4,0.0,5955699.252738336,0.0,1
Seed,HealthTech,US,2556365.273189769,16772158.945146684,6,6,85431.74179249725,14501132.313018084,2990492.106139373,0
Series A,AI/SaaS,Europe,6273246.136519366,44659569.27760767,10,8,1030699.4339932834,11735227.914439766,4288759.359337657,0
Series A,E-commerce,LATAM,4028470.9793237634,18244129.041023917,12,5,1334105.2432785204,8518429.990230514,3936116.268475149,0
Pre-Seed,FinTech,LATAM,393880.7365545425,2307035.594370985,4,6,0.0,7395640.532932039,302898.27693134174,0
Idea,FinTech,Europe,843339.4564053424,4914322.43697288,7,4,0.0,1375336.777031638,0.0,1
Seed,FinTech,Europe,3252789.1985538914,19376184.484841958,7,4,435515.3313159421,16292641.391986612,0.0,1
Idea,ClimateTech,Europe,1666524.6189652248,9631438.192475513,5,6,0.0,47351225.63825194,1409640.6859328423,0
Pre-Seed,ClimateTech,Europe,1306930.870734532,5130782.182380581,4,2,0.0,12565319.51232581,0.0,1
Idea,AI/SaaS,Europe,386317.76424873207,2569914.606967396,7,5,0.0,20441088.67269304,0.0,1
Pre-Seed,EdTech,US,1681604.8433119885,6852474.352239227,6,7,0.0,17335495.98208444,0.0,1
Series A,ClimateTech,US,6207125.401100717,36008500.28665087,8,6,1321224.5575397636,4847853.191091375,6273274.736321091,0
Pre-Seed,FinTech,Asia,1287754.0383221158,6358811.402073353,6,6,0.0,23174899.07645133,745018.4533714601,0
Series B,AI/SaaS,US,5682397.693597125,18885458.124945555,11,5,2075856.212906248,2618334.541609183,3598163.4152212795,0
Series A,HealthTech,US,1384218.081178624,10137945.55212953,9,9,612255.2537992611,4499818.80510322,0.0,1
Idea,ClimateTech,LATAM,1646568.7222228455,10725702.22182329,5,2,0.0,2390601.124729812,0.0,1
Series B,EdTech,US,6286591.318467604,48587114.18102146,18,8,383807.954929941,6632221.753280505,5600055.105369149,0
Series A,HealthTech,Asia,3526813.5157343354,28058475.638457745,10,8,1060079.3062771442,11517995.933390478,2087523.7758280744,0
Series B,E-commerce,US,9995184.873336058,70530465.02434619,8,7,2113806.0918060434,2330586.9702321226,7828816.435035972,0
Seed,HealthTech,US,5820405.66318217,35279377.012891,7,7,268888.09776109015,19168502.58692293,0.0,1
Series B,HealthTech,US,5117753.587684231,38904902.574189685,10,7,572358.0902181448,2875647.365458636,2624916.013824582,0
Idea,ClimateTech,Europe,445669.59887916,2578967.553784816,2,4,0.0,7683710.833751054,233304.21435599032,0
Seed,AI/SaaS,Asia,1025850.8868560826,6097263.182089075,9,6,473464.3813005105,55760689.00277946,703001.6894067536,0
Pre-Seed,AI/SaaS,Europe,2437379.90623442,13108850.478118457,8,8,0.0,44239424.662187,2226445.7797109773,0
Series B,ClimateTech,Europe,2373313.02607679,17240156.086379033,10,3,10991834.512783526,26379441.74906731,1306726.973483763,0
